UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 18:52 ?        00:00:07 /sbin/init recovery dis_ucode_ldr
root           2       0  0 18:52 ?        00:00:00 [kthreadd]
root           3       2  0 18:52 ?        00:00:00 [rcu_gp]
root           4       2  0 18:52 ?        00:00:00 [rcu_par_gp]
root           5       2  0 18:52 ?        00:00:00 [slub_flushwq]
root           6       2  0 18:52 ?        00:00:00 [netns]
root           8       2  0 18:52 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 18:52 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 18:52 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 18:52 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 18:52 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 18:52 ?        00:00:14 [ksoftirqd/0]
root          15       2  0 18:52 ?        00:00:01 [rcu_preempt]
root          16       2  0 18:52 ?        00:00:00 [migration/0]
root          17       2  0 18:52 ?        00:00:00 [idle_inject/0]
root          19       2  0 18:52 ?        00:00:00 [cpuhp/0]
root          20       2  0 18:52 ?        00:00:00 [kdevtmpfs]
root          21       2  0 18:52 ?        00:00:00 [inet_frag_wq]
root          22       2  0 18:52 ?        00:00:00 [kauditd]
root          23       2  0 18:52 ?        00:00:00 [khungtaskd]
root          25       2  0 18:52 ?        00:00:00 [oom_reaper]
root          26       2  0 18:52 ?        00:00:00 [writeback]
root          28       2  0 18:52 ?        00:00:01 [kcompactd0]
root          29       2  0 18:52 ?        00:00:00 [ksmd]
root          30       2  0 18:52 ?        00:00:00 [khugepaged]
root          31       2  0 18:52 ?        00:00:00 [kintegrityd]
root          32       2  0 18:52 ?        00:00:00 [kblockd]
root          33       2  0 18:52 ?        00:00:00 [blkcg_punt_bio]
root          34       2  0 18:52 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 18:52 ?        00:00:00 [ata_sff]
root          36       2  0 18:52 ?        00:00:00 [md]
root          37       2  0 18:52 ?        00:00:00 [edac-poller]
root          38       2  0 18:52 ?        00:00:00 [devfreq_wq]
root          39       2  0 18:52 ?        00:00:00 [watchdogd]
root          40       2  0 18:52 ?        00:00:10 [kworker/0:1H-kblockd]
root          41       2  0 18:52 ?        00:00:02 [kswapd0]
root          42       2  0 18:52 ?        00:00:00 [ecryptfs-kthread]
root          48       2  0 18:52 ?        00:00:00 [kthrotld]
root          52       2  0 18:52 ?        00:00:00 [acpi_thermal_pm]
root          53       2  0 18:52 ?        00:00:00 [xenbus_probe]
root          54       2  0 18:52 ?        00:00:00 [scsi_eh_0]
root          55       2  0 18:52 ?        00:00:00 [scsi_tmf_0]
root          56       2  0 18:52 ?        00:00:00 [scsi_eh_1]
root          57       2  0 18:52 ?        00:00:00 [scsi_tmf_1]
root          58       2  0 18:52 ?        00:00:00 [vfio-irqfd-clea]
root          61       2  0 18:52 ?        00:00:00 [mld]
root          62       2  0 18:52 ?        00:00:00 [ipv6_addrconf]
root          67       2  0 18:52 ?        00:00:00 [kstrp]
root          73       2  0 18:52 ?        00:00:00 [zswap-shrink]
root          74       2  0 18:52 ?        00:00:00 [kworker/u3:0]
root         120       2  0 18:52 ?        00:00:00 [charger_manager]
root         166       2  0 18:52 ?        00:00:00 [scsi_eh_2]
root         167       2  0 18:52 ?        00:00:00 [scsi_tmf_2]
root         188       2  0 18:52 ?        00:00:02 [jbd2/sda3-8]
root         189       2  0 18:52 ?        00:00:00 [ext4-rsv-conver]
root         229       1  0 18:52 ?        00:00:04 /lib/systemd/systemd-journald
root         264       1  0 18:52 ?        00:00:00 /lib/systemd/systemd-udevd
root         302       2  0 18:52 ?        00:00:00 [cryptd]
systemd+     372       1  0 18:52 ?        00:00:00 /lib/systemd/systemd-timesyncd
message+     398       1  0 18:52 ?        00:00:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         773       1  0 18:54 ?        00:00:00 /usr/libexec/accounts-daemon
avahi        777       1  0 18:54 ?        00:00:00 avahi-daemon: running [cy2550vm.local]
root         782       1  0 18:54 ?        00:00:00 /usr/sbin/cron -f -P
root         815       1  0 18:54 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         818       1  0 18:54 ?        00:00:02 /usr/libexec/polkitd --no-debug
root         819       1  0 18:54 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       821       1  0 18:54 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
systemd+     827       1  0 18:54 ?        00:00:07 /lib/systemd/systemd-oomd
systemd+     833       1  0 18:54 ?        00:00:00 /lib/systemd/systemd-resolved
root         834       1  0 18:54 ?        00:00:07 /usr/libexec/udisks2/udisksd
root         839       1  0 18:54 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        857     777  0 18:54 ?        00:00:00 avahi-daemon: chroot helper
root         866       1  0 18:54 ?        00:00:00 /usr/sbin/ModemManager
root         872       1  0 18:54 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
